State,CO2,CO2_Units,source,descr
AK,907.5,lb/MWh,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid,This information sourced from the US EPA eGRID 2018
AL,864,lb/MWh,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid,This information sourced from the US EPA eGRID 2018
AR,1211.3,lb/MWh,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid,This information sourced from the US EPA eGRID 2018
AZ,967,lb/MWh,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid,This information sourced from the US EPA eGRID 2018
CA,420.4,lb/MWh,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid,This information sourced from the US EPA eGRID 2018
CO,1362.6,lb/MWh,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid,This information sourced from the US EPA eGRID 2018
CT,506.4,lb/MWh,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid,This information sourced from the US EPA eGRID 2018
DC,438.9,lb/MWh,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid,This information sourced from the US EPA eGRID 2018
DE,898.3,lb/MWh,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid,This information sourced from the US EPA eGRID 2018
FL,943.3,lb/MWh,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid,This information sourced from the US EPA eGRID 2018
GA,926.4,lb/MWh,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid,This information sourced from the US EPA eGRID 2018
HI,1513.3,lb/MWh,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid,This information sourced from the US EPA eGRID 2018
IA,1069.9,lb/MWh,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid,This information sourced from the US EPA eGRID 2018
ID,160.2,lb/MWh,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid,This information sourced from the US EPA eGRID 2018
IL,812.9,lb/MWh,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid,This information sourced from the US EPA eGRID 2018
IN,1736.5,lb/MWh,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid,This information sourced from the US EPA eGRID 2018
KS,989.3,lb/MWh,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid,This information sourced from the US EPA eGRID 2018
KY,1822.2,lb/MWh,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid,This information sourced from the US EPA eGRID 2018
LA,836,lb/MWh,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid,This information sourced from the US EPA eGRID 2018
MA,727.6,lb/MWh,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid,This information sourced from the US EPA eGRID 2018
MD,835.7,lb/MWh,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid,This information sourced from the US EPA eGRID 2018
ME,257.7,lb/MWh,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid,This information sourced from the US EPA eGRID 2018
MI,1108.3,lb/MWh,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid,This information sourced from the US EPA eGRID 2018
MN,995.4,lb/MWh,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid,This information sourced from the US EPA eGRID 2018
MO,1699.6,lb/MWh,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid,This information sourced from the US EPA eGRID 2018
MS,917,lb/MWh,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid,This information sourced from the US EPA eGRID 2018
MT,1157.1,lb/MWh,https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid,This information sourced from the US EPA eGRID 2018
