State,Car_Trips_Daily_Avg,Car_Trip_Avg_Length,Car_Trip_Avg_Length_Units,source,descr
AK,5.164275,6.672895,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
AL,5.13509,18.172653,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
AR,5.01031,9.084405,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
AZ,5.079173,9.78183,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
CA,5.150115,9.295693,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
CO,5.382834,8.638885,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
CT,5.214176,8.438605,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
DC,5.027515,7.11153,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
DE,4.757829,11.134879,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
FL,5.037915,9.179426,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
GA,5.151999,10.394447,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
HI,5.304728,7.784573,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
IA,5.2835,8.775244,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
ID,5.161626,7.441931,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
IL,5.401782,8.121899,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
IN,5.139257,9.941868,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
KS,5.502649,7.349998,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
KY,5.029632,11.018609,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
LA,5.519691,7.670956,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
MA,5.363002,8.142981,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
MD,5.168056,9.843531,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
ME,5.232778,8.631194,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
MI,5.178394,9.72701,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
MN,5.609112,11.273383,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
MO,5.129022,9.780704,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
MS,5.053599,12.501661,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
MT,5.190232,7.646629,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
NC,5.205442,10.33424,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
ND,5.192419,8.494009,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
NE,5.42773,7.698357,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
NH,4.733776,10.978163,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
NJ,5.164455,9.709365,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
NM,6.454044,7.269223,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
NV,5.743609,6.219271,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
NY,5.154528,8.858899,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
OH,5.450524,8.396109,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
OK,5.45545,11.475223,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
OR,5.274307,8.614178,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
PA,4.993833,8.642377,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
RI,5.630876,8.562024,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
SC,5.196602,9.972627,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
SD,5.619773,8.175413,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
TN,5.47094,10.600789,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
TX,5.345876,10.135954,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
UT,6.220518,7.620731,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
VA,4.88364,9.178411,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
VT,5.259961,10.406018,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
WA,5.274604,10.171655,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
WI,5.179028,9.443651,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
WV,5.165854,8.607841,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
WY,5.912924,9.459754,mi,https://nhts.ornl.gov/,This data sourced from the NHTS 2017
