mix_name,mix_type,count,make,model
OR_Feb_20,BEV,118,Audi,e-tron
OR_Feb_20,BEV,261,BMW,i3
OR_Feb_20,BEV,1838,Chevrolet,Bolt EV
OR_Feb_20,BEV,757,Chevrolet,Spark EV
OR_Feb_20,BEV,509,FIAT,500e
OR_Feb_20,BEV,219,Ford,Focus
OR_Feb_20,BEV,2,Ford,Ranger
OR_Feb_20,BEV,106,Ford,TH!NK
OR_Feb_20,BEV,2,Ford,Transit Connect Electric
OR_Feb_20,BEV,165,Honda,Clarity Electric
OR_Feb_20,BEV,27,Honda,Fit EV
OR_Feb_20,BEV,42,Hyundai,Ioniq Electric
OR_Feb_20,BEV,170,Hyundai,Kona EV
OR_Feb_20,BEV,31,Jaguar,I-PACE
OR_Feb_20,BEV,120,Kia,Niro EV
OR_Feb_20,BEV,267,Kia,Soul EV
OR_Feb_20,BEV,85,Mercedes-Benz,B-Class
OR_Feb_20,BEV,49,Mitsubishi,i-MiEV
OR_Feb_20,BEV,4764,Nissan,LEAF
OR_Feb_20,BEV,1,Porsche,Taycan
OR_Feb_20,BEV,14,Smart,EQ fortwo
OR_Feb_20,BEV,233,Smart,fortwo electric drive
OR_Feb_20,BEV,4935,Tesla,Model 3
OR_Feb_20,BEV,2260,Tesla,Model S
OR_Feb_20,BEV,1281,Tesla,Model X
OR_Feb_20,BEV,13,Tesla,Roadster
OR_Feb_20,BEV,28,Toyota,RAV4 EV
OR_Feb_20,BEV,927,Volkswagen,e-Golf
OR_Feb_20,PHEV,270,Audi,A3 Sportback e-tron
OR_Feb_20,PHEV,2,Audi,Q5
OR_Feb_20,PHEV,97,BMW,3 Series
OR_Feb_20,PHEV,154,BMW,5 Series
OR_Feb_20,PHEV,17,BMW,7 Series
OR_Feb_20,PHEV,72,BMW,i8
OR_Feb_20,PHEV,323,BMW,X5
OR_Feb_20,PHEV,6,Cadillac,CT6 PLUG-IN Hybrid
OR_Feb_20,PHEV,25,Cadillac,ELR
OR_Feb_20,PHEV,2759,Chevrolet,Volt
OR_Feb_20,PHEV,428,Chrysler,Pacifica Hybrid
OR_Feb_20,PHEV,6,Fisker,Karma
OR_Feb_20,PHEV,1127,Ford,C-MAX Energi
OR_Feb_20,PHEV,1104,Ford,Fusion Energi
OR_Feb_20,PHEV,2,Honda,Accord Plug-In
OR_Feb_20,PHEV,428,Honda,Clarity Plug-In Hybrid
OR_Feb_20,PHEV,141,Hyundai,Ioniq Plug-in Hybrid
OR_Feb_20,PHEV,134,Hyundai,Sonata Plug-in Hybrid
OR_Feb_20,PHEV,2,Karma,Revero
OR_Feb_20,PHEV,230,Kia,Niro Plug-In Hybrid
OR_Feb_20,PHEV,45,Kia,Optima Plug-In Hybrid
OR_Feb_20,PHEV,2,Land Rover,Range Rover Sport
OR_Feb_20,PHEV,1,McLaren,P1
OR_Feb_20,PHEV,14,Mercedes-Benz,C-Class
OR_Feb_20,PHEV,110,Mercedes-Benz,GLC
OR_Feb_20,PHEV,26,Mercedes-Benz,GLE
OR_Feb_20,PHEV,10,Mercedes-Benz,S-Class
OR_Feb_20,PHEV,62,MINI,Countryman Plug-in Hybrid
OR_Feb_20,PHEV,141,Mitsubishi,Outlander PHEV
OR_Feb_20,PHEV,4,Porsche,918 Spyder
OR_Feb_20,PHEV,88,Porsche,Cayenne
OR_Feb_20,PHEV,41,Porsche,Panamera
OR_Feb_20,PHEV,229,Subaru,Crosstrek
OR_Feb_20,PHEV,706,Toyota,Prius Plug-in Hybrid
OR_Feb_20,PHEV,1754,Toyota,Prius Prime
OR_Feb_20,PHEV,5,Volvo,S60
OR_Feb_20,PHEV,4,Volvo,S90
OR_Feb_20,PHEV,115,Volvo,XC60
OR_Feb_20,PHEV,142,Volvo,XC90
FCEV_Equal_4,FCEV,1,Honda,Clarity
FCEV_Equal_4,FCEV,1,Hyundai,Nexo
FCEV_Equal_4,FCEV,1,Hyundai,Nexo Blue
FCEV_Equal_4,FCEV,1,Toyota,Mirai
