mix_name,mix_type,count,make,model,source
OR_Feb_20,BEV,118,Audi,e-tron,ODOT
OR_Feb_20,BEV,261,BMW,i3,ODOT
OR_Feb_20,BEV,1838,Chevrolet,Bolt EV,ODOT
OR_Feb_20,BEV,757,Chevrolet,Spark EV,ODOT
OR_Feb_20,BEV,509,FIAT,500e,ODOT
OR_Feb_20,BEV,219,Ford,Focus,ODOT
OR_Feb_20,BEV,2,Ford,Ranger,ODOT
OR_Feb_20,BEV,106,Ford,TH!NK,ODOT
OR_Feb_20,BEV,2,Ford,Transit Connect Electric,ODOT
OR_Feb_20,BEV,165,Honda,Clarity Electric,ODOT
OR_Feb_20,BEV,27,Honda,Fit EV,ODOT
OR_Feb_20,BEV,42,Hyundai,Ioniq Electric,ODOT
OR_Feb_20,BEV,170,Hyundai,Kona EV,ODOT
OR_Feb_20,BEV,31,Jaguar,I-PACE,ODOT
OR_Feb_20,BEV,120,Kia,Niro EV,ODOT
OR_Feb_20,BEV,267,Kia,Soul EV,ODOT
OR_Feb_20,BEV,85,Mercedes-Benz,B-Class,ODOT
OR_Feb_20,BEV,49,Mitsubishi,i-MiEV,ODOT
OR_Feb_20,BEV,4764,Nissan,LEAF,ODOT
OR_Feb_20,BEV,1,Porsche,Taycan,ODOT
OR_Feb_20,BEV,14,Smart,EQ fortwo,ODOT
OR_Feb_20,BEV,233,Smart,fortwo electric drive,ODOT
OR_Feb_20,BEV,4935,Tesla,Model 3,ODOT
OR_Feb_20,BEV,2260,Tesla,Model S,ODOT
OR_Feb_20,BEV,1281,Tesla,Model X,ODOT
OR_Feb_20,BEV,13,Tesla,Roadster,ODOT
OR_Feb_20,BEV,28,Toyota,RAV4 EV,ODOT
OR_Feb_20,BEV,927,Volkswagen,e-Golf,ODOT
OR_Feb_20,PHEV,270,Audi,A3 Sportback e-tron,ODOT
OR_Feb_20,PHEV,2,Audi,Q5,ODOT
OR_Feb_20,PHEV,97,BMW,3 Series,ODOT
OR_Feb_20,PHEV,154,BMW,5 Series,ODOT
OR_Feb_20,PHEV,17,BMW,7 Series,ODOT
OR_Feb_20,PHEV,72,BMW,i8,ODOT
OR_Feb_20,PHEV,323,BMW,X5,ODOT
OR_Feb_20,PHEV,6,Cadillac,CT6 PLUG-IN Hybrid,ODOT
OR_Feb_20,PHEV,25,Cadillac,ELR,ODOT
OR_Feb_20,PHEV,2759,Chevrolet,Volt,ODOT
